title,ingredients,method
"Cajun Crappie
","[['4 Crappie fillets about 10"" long', '2 tablespoons butter', '1 pinch cayenne pepper', '3 teaspoons paprika', '3 ounces cognac', '1 cup heavy cream', '4 tablespoons brown sugar', '4 cloves crushed garlic', '1 teaspoon corn starch', 'Ground or fresh thyme', 'Ground or fresh basil', 'Ground or fresh parsley']]","[['Combine the thyme, basil, parsley, cayenne pepper, garlic and', 'paprika and sprinkle over fish in a shallow bowl. Melt 1 tbls.', 'butter in a skillet and add fish, cooking until soft but not', 'hard. Cook for 2 minutes per side. The idea is to not dry out', 'the fish. After the fish have been cooked on both sides, remove', 'fish and add brown sugar to pan. Then add remaining butter and', 'return the fish to the pan once the sugar is melted. This will', 'glaze the fish and finish cooking them. Remove fish to serving', 'plate and deglaze skillet with cognac immediately, adding heavy', 'cream once cognac is boiling. Reduce by 25 percent. Combine a', 'small portion of liquid with corn starch and add to sauce.', 'Allow sauce to boil for about one minute. Pour sauce on top of', 'fish and garnish with fresh parsley.']]"
"Baked Possum
","[['1 large possum, skinned, dressed, and washed', '1 quart beer', '4 tablespoons Tabasco sauce', '1 1/2 tablespoons salt', '2 onions, chopped', '1 clove garlic, minced', '2 tablespoons Worcestershire sauce', '4 sweet potatoes', '2 ribs celery, chopped', '1 oz. whiskey']]","[['Mix the beer, whiskey, salt, Tabasco sauce, and Worcestershire sauce', 'together. Place possum in a large roasting pan. Sprinkle the celery,', 'onions, and the garlic all over the possum. Pour the liquid mixture', 'over the possum as well. Cover and refrigerate overnight.', 'Preheat oven to 350F. Place the sweet potatoes around the possum.', 'Bake covered for 1 1/2 hours. Baste once or twice with the marinade', 'from the pan as the possum cooks.']]"
"Salmon Pate
","[['1 cup salmon, flaked', '1 pkg. (8 oz.) cream cheese, room temperature', '1 tablespoon fresh lemon juice', '1 teaspoon prepared horseradish', '1 teaspoon onion, grated', '1/4 teaspoon salt', '1/8 teaspoon pepper', '1/8 teaspoon liquid smoke']]","[['Mix salmon with all of the other ingredients. Press into a fish', 'shaped mold or shape by hand as such. Garnish fish with almond', 'slices to resemble scales. Slice green olive for eye and thin', 'strips of celery for tail. Garnish top with parsley. Chill at', 'least 1 hour before serving.'], ['Garnish:', 'almond slices', 'parsley', '1 olive', 'celery']]"
"Bombay Monkfish
","[['1 pound monkfish, skinned', 'Milk to cover', '1/4 pound shrimp, shelled', '2 eggs', '3 tablespoons tomato paste', '1/2 teaspoon curry powder', '2 teaspoons lemon juice', '1/4 teaspoon fresh rosemary, chopped', '1 pinch of saffron or tumeric', '3/4 cup light cream', 'Salt and pepper to taste']]","[['Preheat oven to 350F. Put the monkfish in a pan just large enough to', 'hold it. Pour the milk over and place the pan over moderate heat. Bring', 'to a simmer, cover, and cook for 8 minutes. Turn the fish and cook 7', 'minutes longer, or until the fish is cooked through. When the monkfish', 'is nearly done, add the shrimp and cook 2-3 minutes, or until they turn', 'pink. Drain fish and shrimp, discarding milk.', 'Cut the monkfish into bite-size pieces. Beat the eggs with the tomato', 'paste, curry powder, lemon juice, rosemary, saffron and 1/2 cup cream.', 'Mix in the fish and shrimp and season to taste with salt and pepper.', 'Turn into 4 individual ramekin dishes and pour an equal amount of the', 'remaining cream over the top of each dish. Bake for 20 minutes, or until', 'set. Serve hot with a squeeze of lemon and a crusty french type bread.']]"
"Venison Stew
","[['Stew:', '5 pounds venison (chuck or leg meat), cut into 1-inch cubes', '1/2 cup vegetable oil, divided', '3/4 pound dried apricots', '1/2 pound dried prunes', '1 cup dry red wine', '6 cups beef broth', '3 cups chicken broth', '3/4 cup butter', '3/4 cup flour', '3/4 pound onions, chopped', '1/2 cup chopped parsley', 'Salt and pepper to taste'], ['Spice Mix:', '2 tablespoons paprika', '3/4 teaspoon thyme', '1/2 teaspoon curry powder', '1/2 teaspoon ground cumin', '3/4 teaspoon cayenne pepper', '3/4 teaspoon dry mustard', '1/2 teaspoon black pepper']]","[['Stir together ingredients for Spice Mix and set aside. In a large', 'bowl, place venison and toss with entire spice mixture. Cover with', 'plastic wrap, set in the refrigerator and leave overnight.', 'On cooking day, combine dried fruit and red wine in bowl, and set', 'aside. Heat a large saute pan until very hot, add a little oil. Add', 'meat in batches and replenish oil as needed to brown meat well on', 'all sides. Remove meat to 8—quart stock pot as it browns. Deglaze', 'saute pan with a bit of stock to melt drippings. Transfer drippings', 'to stock pot along with the rest of beef and chicken stock.', 'Bring to a boil, reduce heat to simmer, cover and cook 2 hours or', 'until meat is tender. When meat is done, strain off and save the', 'cooking liquid. Set meat aside temporarily.', 'In same stock pot, which you have now emptied, melt butter and cook', ""until it bubbles, but doesn't burn. Stir or whisk in flour. Brown"", 'it lightly to make a roux. Slowly add strained-off cooking liquid', 'to make a sauce. Add enough liquid for desired thickness. Let simmer', '5 minutes. Add meat, dried fruit and wine. Meanwhile, saute onions']]"
"Bass with Avocado Sauce
","[['1 small ripe avocado coarsely chopped', '1/4 cup skim milk', '1 tablespoon lime juice', '1 garlic clove minced', '1 dash hot sauce', '2 tablespoons lemon juice', '1 tablespoon soy sauce', '1 teaspoon lemon rind grated', '1 teaspoon Dijon mustard', '16 ounces bass fillets', '1/3 cup dry bread crumbs fine', 'vegetable cooking spray']]","[['Combine the first 5 ingredients in a blender; cover and', 'process until smooth. Set mixture aside. Combine lemon juice', 'and next 3 ingredients in a shallow dish; dip fillets in lemon', 'juice mixture, and dredge in bread crumbs. Place on a baking', 'sheet coated with cooking spray. Bake at 450 degrees F for', '7 minutes; turn fillets over, and bake an additional 7 minutes', 'or until fish flakes easily when tested with a fork. Transfer', 'fillets to a serving platter, and top with avocado sauce.']]"
"Wild Goose Chase
","[['Make sauce:', 'pan drippings from roasted goose', '2 green onions, chopped', '3/4 cup chicken stock', '1/2 cup Madeira wine', '1 tbsp. peppercorns, slightly crushed', '1 tsp. cornstarch', 'salt and fresh ground pepper to taste'], ['1 cup dried apricots, halved', '2 cups dried prunes, halved', '1/2 cup Madeira wine', '1 goose (12 pounds)', 'juice of 1 orange', '2 tart apples', 'grated zest of 1 orange', 'salt and pepper to taste', 'dash paprika', '8 slices bacon', '1 1/4 cups Wild Goose Sauce (recipe below)']]","[['Scrape brown pan drippings into saucepan. Add green onions,', '1/2 cup stock, Madeira and peppercorns. Simmer 5 minutes. Mix', 'cornstarch with remaining 1/4 cup stock until smooth. Slowly', 'drizzle into sauce, stirring rapidly. Add salt and pepper. Stir,', 'simmer 5 minutes. Serve over goose.'], ['Place apricots and prunes in mixing bowl. Add Madeira. Mix and', 'set aside.', 'Preheat oven to 325F. Rinse goose and pat dry. Prick all over', 'with fork. Rub inside and out with orange juice. Add apples and', 'orange zest to apricots and prunes. Sprinkle goose inside and out', 'with salt, pepper and paprika. Stuff cavity with fruit. Skewer', 'opening closed. Lay bacon slices across breast. Place goose, breast', 'side up, in shallow roasting pan. Roast for 1 1/2 hours, removing', 'accumulated fat every 30 minutes. Remove bacon and roast for 1 hour', 'more, removing fat after 30 minutes. Remove from oven. Let stand', '20 minutes before carving.']]"
"Brandied Orange Rabbit With Mushrooms
","[['4 pounds rabbit pieces', '1/2 cup brandy', '1/2 cup frozen orange juice concentrate', '4 tablespoons butter', '2 cups mushrooms, sliced', '1 tablespoon cornstarch dissolved in 1/2 cup orange juice', '2 cloves garlic, crushed', 'curry powder, to taste', 'salt and pepper', '4 carrots, julienned']]","[['Marinate rabbit in brandy and orange juice concentrate overnight.', 'Arrange rabbit in baking dish reserving marinade. In a skillet, melt', 'butter and saute mushrooms until barely tender. Add reserved marinade,', 'garlic, curry, salt and pepper. Thicken with cornstarch/orange juice', 'mixture and pour over rabbit. Bake, uncovered, at 325F for 1 hour.', 'Add carrots and bake 1 hour longer.']]"
"Italian Roast Pheasant
","[['2 fresh pheasants', '5 slices pancetta or bacon', '1 tablespoon fresh rosemary, chopped', '1 tablespoon fresh thyme, chopped', '2 to 3 cloves garlic, chopped', 'Salt and black pepper', '3/4 cup dry white wine', '3 tablespoons butter', '3 tablespoons brandy']]","[['Wash and dry the pheasants, removing any lumps of fat from the', 'cavity. Make the dressing by chopping the bacon, herbs and garlic.', 'Mix well. Spoon the dressing into the cavity and truss the birds.', 'Season with salt and pepper.', 'Place the birds on their sides on a rack and bake at 350 degrees,', 'turning every 15 minutes. The breast should remain down to keep it', 'from drying out. After 30 minutes add the wine and continue roasting', 'and turning the birds for another 10 to 15 minutes. Increase the heat', 'to 450 and brown the skin. Cook the pheasant for 5 minutes on each', 'side. Remove and keep warm.', 'Cut the birds in half. Place the halves, cut side down, in a large', 'frying pan, with any stuffing that falls out and the pan juices. Add', 'the butter, and cook over high heat for 3 to 4 minutes, or till', 'traces of pink are gone. Add the brandy and flame them. Serve at', 'once spooning the pan juices and stuffing on top.', 'Wild rice makes a fine accompaniment.']]"
"Rack of Venison With Mushrooms
","[['1 quart beef stock', '1/2 cup chopped leeks', '1/4 cup each, chopped: shallots and carrot', '1 tomato, chopped', '1/2 bunch fresh parsley (leaves only)', '1/2 cup port wine', '2 teaspoons tomato paste', '1 rack of venison (8 ribs, about 2 pounds)', '1/4 cup olive oil', '2 cups sliced mixed exotic mushrooms (oyster, shiitake, portobello)', 'Salt and freshly ground black pepper, to taste', 'Chopped parsley or watercress for garnish (optional)']]","[['In a very large saucepan, combine stock, leeks, shallots, carrot,', 'tomato and parsley; whisk in port and tomato paste. Bring to a slow', 'boil, reduce heat and simmer 2 hours, or until Sauce is reduced to', '3 cups. Strain and discard solids. Preheat oven to 425F.', 'Place venison on a rack in a roasting pan and roast 25 minutes, just', 'to medium rare. Remove venison from oven and set aside. (To add an', 'optional crust on the top, brush 1 tablespoon Dijon mustard over', 'roasted venison. Pat on about 1/2 to 3/4 cup dry seasoned bread', 'crumbs. Return venison to oven until bread crumbs are browned.)', 'Meanwhile, heat oil in skillet and add mushrooms; saute briefly,', 'then season with salt and pepper. Pour about 1/4 cup sauce on each', 'of 8 plates. Place 2 slices venison on each plate, atop sauce.', 'Garnish with mushrooms and chopped parsley.']]"
"Baked Seafood Au Gratin
","[['1 onion, chopped', '1 green bell pepper, chopped', '1 cup butter', '1 cup all-purpose flour', '1 pound fresh crab meat', '4 cups water', '1 pound medium shrimp, peeled and deveined', '1/2 pound bay scallops', '1/2 pound flounder fillets', '3 cups milk', '1 cup shredded sharp Cheddar cheese', '1 tablespoon distilled white vinegar', '1 teaspoon Worcestershire sauce', '1/2 teaspoon salt', '1 pinch ground black pepper', 'dash hot red pepper sauce', '1/2 cup grated Parmesan cheese']]","[['Lightly grease one 13x9x2 inch baking dish. In a heavy skillet,', 'saute the onion and the pepper in 1/2 cup of the butter or margarine.', 'Cook until tender. Stir in 1/2 cup of the flour and cook over medium', 'heat for 10 minutes, stirring frequently. Add the crabmeat and stir', 'well. Press this mixture into the bottom of the prepared baking dish', 'and set aside.', 'In a large Dutch oven, bring the water to a boil. Add the shrimp,', 'scallops and flounder. Simmer for 3 minutes. Drain and reserve 1 cup', 'of the cooking liquid and set the seafood aside.', 'Preheat oven to 350F. In a heavy saucepan, melt the remaining', '1/2 cup butter over low heat. Stir in the remaining 1/2 cup flour.', 'Cook and stir constantly for 1 minute. Gradually add the milk plus', 'the 1 cup reserved cooking liquid. Raise heat to medium and cook,', 'stirring constantly, until the mixture is thickened and bubbly. Stir', 'in the shredded Cheddar cheese, vinegar, Worcestershire sauce, salt,', 'pepper, and hot sauce. Add the cooked seafood and stir gently.', 'Spoon the seafood mixture over the crabmeat crust and sprinkle with', 'the Parmesan cheese. Bake in the preheated oven for 30 minutes or', 'until lightly browned. Serve immediately.']]"
"Duck and Roasted Walnut Salad
","[['Dressing:', '1 tablespoon raspberry vinegar', '2 tablespoons walnut oil', '1 tablespoon peanut oil', '1 teaspoon soy sauce', '2 teaspoons sugar'], ['1 cucumber, halved, seeded and thinly sliced', '2 tablespoons chopped green onions'], ['2 duck breasts', 'Salt and freshly ground black pepper, to taste', '1/2 cup walnuts']]","[['In a small bowl, whisk together vinegar, oils, soy sauce and sugar.', 'Use as directed above.'], ['Preheat oven to 350 degrees. Place duck breasts on a rack in', 'a baking pan and season with salt and pepper; roast 45 minutes.', 'Let cool and slice thin. Spread walnuts on a cookie sheet and', 'roast at 350 degrees 10 to 15 minutes, or until they are brown', 'and give off a rich, nutty aroma; stir once or twice during cooking.', 'Prepare dressing. Toss a little dressing with cucumber slices', 'and arrange on a platter; fan duck slices on top. Spoon reserved', 'dressing over top and garnish with roasted walnuts and chopped', 'onion.'], ['Dressing (recipe follows)']]"
"Roast Duck with Port-Garlic Sauce
","[['For duck:', '1/3 cup soy sauce', '3 tablespoons Dijon mustard', '3 large garlic cloves, pressed', '1 teaspoon coarse salt', '1 teaspoon ground pepper', '1 teaspoon dried thyme'], ['2 tablespoons (1/4 stick) butter', '6 large garlic cloves, sliced', '1 cup ruby Port', '1 tablespoon all purpose flour'], ['For sauce:', '1 5-pound duck, fresh or frozen, thawed (neck, heart and', 'gizzard reserved)', '1 medium onion, quartered', '1 carrot, coarsely chopped', '1 celery stalk, coarsely chopped', '4 1/2 cups water']]","[['Preheat oven to 400F. Trim excess fat from cavity of duck. Using', 'fork, pierce duck skin in several places. Place duck, breast side', 'up, on rack in large roasting pan. Brush soy sauce over duck. Mix', 'mustard and pressed garlic in small bowl. Brush mustard mixture', 'over duck. Mix salt, pepper and thyme in another small bowl.', 'Sprinkle spice—herb mixture over duck and in cavity. Roast duck', '45 minutes. Turn duck and roast, breast side down, 30 minutes.'], ['Melt 1 tablespoon butter in heavy large skillet over medium heat.', 'Add sliced garlic and saute until golden, about 2 minutes. Add Port', 'and boil 5 minutes. Add reduced duck stock and boil until reduced', 'to 1 cup, about 8 minutes. Mix remaining 1 tablespoon butter and', 'flour in small bowl. Whisk into sauce and simmer until thickened,', 'about 1 minute. Season sauce with salt and pepper.'], ['Cut off duck wing tips at joint. Combine neck, heart, gizzard', 'and wing tips in large saucepan. Add onion, carrot and celery', 'to pan. Add 4 1/2 cups water and bring to boil. Reduce heat and', 'simmer 1 hour. Strain stock into medium saucepan. Boil stock until', 'reduced to 1 cup, about 15 minutes.']]"
"Crab Stuffing
","[['8 ozs. Ritz crackers, crushed', '1/4 lb. sweet butter, melted', '1/4 cup mayonnaise', '2 tablespoons chopped garlic', '2 tablespoons Worcestershire sauce', '1/8 cup cream sherry', '1 tablspoon ground black pepper', '1/2 tablespoon hot sauce', '1/2 cup fresh cleaned crabmeat']]","[['In a bowl, use a small wire whisk to mix all ingredients except', 'crackers and crab. Lightly toss in crackers and crab. This may be used', ""to stuff shrimp or other seafood such as flounder or grouper. It's"", 'great for stuffed mushrooms, too.']]"
"Pheasant Jubilee
","[['4 pheasants, quartered', 'Flour', '1/2 butter or maragarine', '1 onion chopped', '1/2 cup golden raisins', '1 cup chili Sauce', '1/2 water', '1/2 brown sugar', '2 tablespoons Worchesershire sauce', '1/4 teaspoon garlic powder', '1 cup Sherry', '1 (1-Ib.) can pitted dark sweet cherries, drained']]","[['Dust pheasants with flour. Melt butter in a heavy skillet: brown', 'birds thoroughly. Place pheasants in a deep casserole. In the same', 'skillet, combine onion, raisins, chili sauce, water, brown sugar,', 'Worchestershire sauce and garlic; boil briefly, scraping browned meat', 'from bottom and sides of pan; pour over pheasants. Bake covered, in', 'a moderately slow oven (325F) for 1 1/2 hours. remove cover; add', 'sherry and cherries. Continue baking 20 minutes longer. To serve,', 'transfer to a deep chafing or warming dish. This works well with', 'wild rice and a fresh green vegetable.']]"
"Lemon-Coriander Game Hens
","[['1/3 cup fresh lemon juice', '1 green onion, minced', '3 tablespoons minced fresh cilantro', '2 garlic cloves, pressed'], ['2 Cornish game hens (1 1/2 pounds each), halved', '1 teaspoon ground coriander', '1 teaspoon ground turmeric']]","[['Rub game hens with coriander and turmeric. Set aside.', 'Combine remaining ingredients in medium baking dish. Add game', 'hens to marinade and turn to coat. Cover and refrigerate 6 hours', 'or overnight.', 'Prepare barbecue (medium-high heat) or preheat broiler. Remove', 'game hens from marinade. Season game hens with salt and pepper.', 'Grill or broil until cooked through, turning and basting', 'occasionally with marinade, 25 minutes.']]"
"Spicy Blackened Catfish
","[['2 teaspoons sweet paprika', '1/2 teaspoon dried oregano, crumbled', '1/2 teaspoon dried thyme, crumbled', '1/4 teaspoon cayenne, or to taste', '1/2 teaspoon sugar', '1/2 teaspoon salt', '1/4 teaspoon freshly ground black pepper', '2 Catfish fillets (about 1 pound)', '1 large garlic clove, sliced thin', '1 tablespoon olive oil', '1 tablespoon unsalted butter', 'lemon wedges as an accompaniment']]","[['In a small bowl combine the paprika, oregano, thyme, cayenne,', 'sugar, salt, and black pepper. Pat the catfish dry, and sprinkle', 'the spice mixture on both sides of the fillet, coating them well.', 'In a large skillet saute the garlic in the oil over moderately', 'high heat, stirring, until it is golden brown and discard the', 'garlic. Add the butter, heat it until the foam subsides, and in', 'the fat, saute the catfish for 4 minutes on each side, or until', 'it is cooked through. Transfer the catfish fillets with a slotted', 'spatula to 2 plates and serve them with the lemon wedges.']]"
"Roast Wild Turkey
","[['1 wild turkey 8 to 10 lbs', '1 lb. of pork sausage', '1/2 cup of butter', '1/2 lb. of sliced mushrooms', '2 stalks of chopped celery', '1 chopped onion', '2 garlic cloves, minced', '6 cups of bread cubes', '1 egg']]","[['Preheat oven to 325F.', 'If the wild taste is something you do not like, marinate the turkey', 'in buttermilk for 24 hours.', 'Brown the pork sausage in a skillet and drain the grease. Add the', 'butter, mushroom, garlic, onion, and celery to skillet and melt the', 'butter. Pour the mix over the bread cubes in a bowl and stir in the', 'egg. Clean inside and out and dry the turkey.', 'Stuff the prepared dressing into the cavity and place turkey ina', 'roasting pan. Place a meat thermometer in the breast of the turkey', 'avoiding the bones. Lightly rub oil over the turkey.', 'Cover the turkey loosely with foil. Place roasting pan in oven for', 'about 3 1/2 hours, occasionally basting with oil or butter. Remove', 'the foil and continue to roast for 30 min. The turkey is done when', 'the thermometer reads 185F.', 'Pull the turkey from the oven and let sit for 30 min.']]"
"Duck in Guinness and Honey
","[['1 duck, trussed', '2 This. oil', '2 This. honey', '1 Tbls. brown sugar', '1 cup Guinness', 'pinch each nutmeg and cinnamon', '1 1/4 cups demiglaze or duck stock', 'pinch each salt and pepper']]","[['Preheat oven to 475F.', 'Wash and truss the duck. Brush with oil and seal in a hot', 'oven until browned (about 10 to 12 minutes). Meanwhile, in', 'a heavy saucepan mix together the honey, sugar, Guinness and', 'spices and simmer for 10 minutes. Add demiglaze or stock and', 'continue cooking for another 15 minutes.', 'Season to taste with salt and pepper.', 'Reduce heat to 300F, cover the duck with the sauce and roast', 'for 60 to 75 minutes. Baste occasionally. Test with a fork.', 'If the sauce tastes too bitter at the end of cooking time, add', 'a little more honey. Remove from the oven and allow to rest', 'for a few minutes before carving.']]"
"E-Cookbooks Fish & Game Recipe Sampler
",[],"[['in a small amount of oil. Add to stew with parsley, salt and pepper', 'to taste.']]"
"Cream Of Crab Soup
","[['1 Small onion, finely chopped', '1 Tablespoon butter', '1 Cup chicken broth', '1 Quart Half & Half, or whole milk', '1 Tablespoon chopped parsley', '1/2 Teaspoon celery salt', '1/2 Teaspoon mace', '1 Dash cayenne', 'salt and fresh ground black pepper, to taste', '1 Pound crab meat, jumbo lump Maryland Blue Crab', '1/4 Cup sherry', '2 Tablespoons all-purpose flour,', 'mixed with 1 Tablespoon water or warm milk']]","[['In a large saucepan, cook onion in butter until transparent.', 'Add chicken broth and slowly pour in milk. Add all seasonings', 'except sherry. Add the crab meat (cleaned of all shells) and', 'simmer for 15 minutes.', 'Make a paste of about 2 tablespoon flour and a little water or', 'warm milk mixture. Stir paste into soup to thicken slightly.', 'Remove from heat, stir in sherry and serve.', 'Garnish with chopped parsley.']]"
